direct_parent_id,direct_parent_lbl,n_inchikeys,n_sources
CHEMONTID:0000331,Fatty amides,8,3
CHEMONTID:0000400,Organophosphorus compounds,8,3
CHEMONTID:0000429,Homogeneous lanthanide compounds,8,2
CHEMONTID:0000717,Post-transition metal hydroxides,8,4
CHEMONTID:0000999,Transition metal silicates,8,3
CHEMONTID:0001109,Phthalic anhydrides,8,9
CHEMONTID:0001178,Organosulfonic acid esters,8,2
CHEMONTID:0001180,Organic sulfuric acids,8,3
CHEMONTID:0001194,Oxosteroids,8,2
CHEMONTID:0001273,Meta cresols,8,6
CHEMONTID:0001662,Primary carboxylic acid amides,8,7
CHEMONTID:0001729,Oxepanes,8,5
CHEMONTID:0001763,Pyridoacridines,8,3
CHEMONTID:0002006,Pyrazolylpyridines,8,3
CHEMONTID:0002314,Quinazolinamines,8,4
CHEMONTID:0002357,Aminopiperidines,8,3
CHEMONTID:0002413,Pyrazine carboxylic acids,8,2
CHEMONTID:0002424,Anthracenecarboxylic acids,8,1
CHEMONTID:0002499,Thiochromenes,8,3
CHEMONTID:0002609,Fluorohydrins,8,2
CHEMONTID:0002840,Cyclic olefins,8,2
CHEMONTID:0003358,N-methylpiperazines,8,4
CHEMONTID:0003926,Beta-diketones,8,6
CHEMONTID:0003961,Perfluoroalkyl sulfonic acid and derivatives,8,4
CHEMONTID:0003972,3-pyridinecarbonitriles,8,2
CHEMONTID:0004008,Chloroquinolines,8,2
CHEMONTID:0004091,Alkyl nitrates,8,4
CHEMONTID:0004161,Hydroxypyrimidines,8,4
CHEMONTID:0004210,o-Xylenes,8,7
CHEMONTID:0004327,Tetraalkylphosphonium compounds,8,3
CHEMONTID:0004537,4-aminoquinolines,8,1
CHEMONTID:0004569,Alkylaluminium halides,8,2
CHEMONTID:0004610,Metal p-nitrophenoxides,8,5
CHEMONTID:0004623,Aryl thiophosphates,8,5
CHEMONTID:0004676,2-phenoxypropionic acids,8,4
CHEMONTID:0004706,S-triazinyl-2-sulfonylureas,8,4
CHEMONTID:0004768,Cyanoacrylates,8,3
CHEMONTID:0000014,Phenylbutylamines,7,5
CHEMONTID:0000017,Cycloalkenes,7,3
CHEMONTID:0000064,Macrolactams,7,3
CHEMONTID:0000137,Resorcinols,7,8
CHEMONTID:0000189,Piperazines,7,4
CHEMONTID:0000213,Pyrrolopyridines,7,1
CHEMONTID:0000242,Nitroimidazoles,7,1
CHEMONTID:0000252,Quinuclidines,7,1
CHEMONTID:0000293,Benzazepines,7,1
CHEMONTID:0000333,Straight chain fatty acids,7,6
CHEMONTID:0000410,Azo compounds,7,8
CHEMONTID:0000427,Homogeneous post-transition metal compounds,7,8
CHEMONTID:0000432,Homogeneous halogens,7,4
CHEMONTID:0000483,Halogenated fatty acids,7,1
CHEMONTID:0000548,Halogen hydrides,7,5
CHEMONTID:0000590,Transition metal iodides,7,5
CHEMONTID:0000660,Alkali metal sulfates,7,3
CHEMONTID:0000855,Transition metal pyrophosphates,7,5
CHEMONTID:0001042,Sulfonyl chlorides,7,1
CHEMONTID:0001077,Non-metal sulfates,7,5
CHEMONTID:0001151,Indanones,7,1
CHEMONTID:0001290,Indolyl carboxylic acids and derivatives,7,2
CHEMONTID:0001527,Diphenylacetonitriles,7,3
CHEMONTID:0001693,Aminotriazines,7,5
CHEMONTID:0001845,Bromodiphenyl ethers,7,7
CHEMONTID:0001880,Gamma amino acids and derivatives,7,3
CHEMONTID:0001976,Pyridinylpiperazines,7,1
CHEMONTID:0002007,Thiazolecarboxylic acids and derivatives,7,1
CHEMONTID:0002044,Phenylnaphthalenes,7,5
CHEMONTID:0002349,Naphthalenecarboxamides,7,3
CHEMONTID:0002497,Indoles,7,5
CHEMONTID:0002524,Cyclopropanecarboxylic acids and derivatives,7,2
CHEMONTID:0003098,2-halobenzoic acids and derivatives,7,1
CHEMONTID:0003196,Alkylarylsilanes,7,2
CHEMONTID:0003263,Monoalkylglycerols,7,3
CHEMONTID:0003381,alpha-Mercaptocarboxylic acids,7,3
CHEMONTID:0003457,Alkyl phosphates,7,2
CHEMONTID:0003861,Fatty acyl glycosides of mono- and disaccharides,7,1
CHEMONTID:0003867,Trialkylsilanes,7,1
CHEMONTID:0003960,Perfluorooctane sulfonic acid and derivatives,7,2
CHEMONTID:0003999,Methoxyanilines,7,1
CHEMONTID:0004162,Hydroxyindoles,7,3
CHEMONTID:0004415,"Pyrrolo[2,3-d]pyrimidines",7,1
CHEMONTID:0004488,Organic lithium salts,7,2
CHEMONTID:0004517,P-toluenesulfonamides,7,2
