substance_name,best_match,score_1
"Potassium (1R,3S)-3-formyl-2,2-dimethylcyclopropanecarboxylate","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.9105143750453782
Calcium Alkylated Naphthalene Sulphonate,Naphthalene sulfonates,0.9104613864240243
N-[3-(dimethylamino)propyl] amides C18-22 (even numbered),Mono-(1Z-alkenyl)-glycerols,0.9104157822566157
"Reaction products of 3-aminomethyl-3,5,5-trimethylcyclohexylamine and m-phenylenebis(methylamine) with 2,2'-[(1-methylethylidene)bis(4,1-phenyleneoxymethylene)]bisoxirane","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.9102862134173273
"1,3- AND 1,4-CYCLOHEXANDICARBOXYALDEHYDE","2,3-Cyclopentanoindolines",0.9102241049961182
"3-cyanomethyl-2-(4-methylphenyl)-6-methylimidozo[1,2-a]pyridine","6-piperazinylimidazo[1,2-a]pyridines",0.9101253138088395
"1,1-Bis(4-hydroxyphenyl)-3,3,5-trimethylcyclohexane","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.9098520969999478
"Trans-2,6-dimethylindan-1-amine","2,2-dimethyl-1-benzopyrans",0.9097206557247219
4-methylaminopiperidine dihydrobromide,Dimethoxybenzyl-N-methylpiperazines,0.9096599502777005
"Methyl-2,3-dibromo-2-methylpropionate","2-amino-3-aroyl-4,5-alkylthiophenes",0.909412599313905
"1,2-Benzenedicarboxylic acid, benzyl isononyl alkyl esters","1,8-naphthalic anhydrides",0.9093724509999719
Mercury nitride,Alkali metal nitrides,0.9093505909352352
"thionyl chloride, reaction products with 1,3,4-thiadiazol-2,5-dithiol, tert-nonanethiol and C12-14-tert-alkylamine","1,2,4-dithiazole-3-thiones",0.909251551571584
"2,5-diphenyloxazole-4-sulfonic acid","2,5-diphenylfurans",0.9092342448188228
"Trans-esterification product of castor oil and 2-ethyl-2-(hydroxymethyl)propane-1,3-diol","1,2-diacyl-sn-glycerol-3(2'-aminopropyl)phosphonates",0.9091719993928552
"3-[bis(trifluoroalkyl)phenyl]-1H-1,2,4-heteromonocycle","N-sulfonyl-1,2,4-triazoles",0.9090743047468772
"1,4-Benzenediamine, N,N'-mixed phenyl and tolyl derivatives (BENPAT)","N,N-dialkyl-p-toluamides",0.9090329924112961
"Alkane-alpha,omega-diyl bis{[(triethoxysilyl)propyl]carbamate}_E2",Mono-(1Z-alkenyl)-glycerols,0.9090185815945732
"N,N-bis(2-hydroxyethyl)-3-[(C16-18)alkoxy]-1-propanamine","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.9089920586133228
"1-(2-hydroxyethyl)-4-hydroxy-2,2,6,6-tetramethyl piperidine-succinic acid, dimethyl ester, copolymer","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.9089789447213069
"1-Propanaminium, 3-amino-N-(2-hydroxyethyl)-N,N-dimethyl-, N-mink-oil acyl derivs., chlorides","1-acyl,2-(1Z-alkenyl)-glycerophosphocholines",0.9088565595902757
"3,4-dihydroxy-1-[(Z)-octadec-9-enyl]pyrrolidine-2,5-dione","Pyrazolo[1',5':1,6]pyrimido[4,5-d]pyridazin-4-ones",0.9088163850926314
"4-(2,2-diethoxyacetyl)-3,5-difluoro-N-methylbenzamide","2-amino-3-aroyl-4,5-alkylthiophenes",0.908769824635558
"1,3-Propanediol, 2,2-bis[[(γ-ω-perfluoro-C6–12-alkyl)thio]methyl] derivatives, phosphates, ammonium salts","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.908698831436459
Alkylated Naphthalene,Naphthalenes,0.9086947694887365
resin acids and rosin acids,Perselenic acids,0.9086628891859236
Carbamic acid ester,Carbamic acids,0.9086277190943542
"3-(1,5-dichloropentan-3-yl)-6-fluoro-1,2-benzisoxazole","2-amino-5-substituted-1,3,4-thiadiazoles",0.9085488514147397
"Reaction products of 4,4'-(1,3-phenylene-bis(1-methylethylidene))bis-phenol and cyanogen bromide","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.9085331339975851
"Reaction products of: thionyl chloride, 1,3,4-thiadiazol-2,5-dithiol, tert-nonanethiol and C12-14-tert-alkylamine","Pyridyl-1,2,4-triazoles",0.9084841763859043
S CARBOXYLIC ACID,Carboxylic acid amides,0.908453394658883
"1-Propanaminium, N-(3-aminopropyl)-2-hydroxy-N,N-dimethyl-3-sulfo-, N-(C12-18(even numbered) acyl) derivs., hydroxides, inner salts","1-acyl,2-(1Z-alkenyl)-glycerophosphocholines",0.9083294283496742
"Nickel, 2,2'-thiobis[4-nonylphenol] complexes","3,4,5-trisubstituted-2-aminothiophenes",0.9082245302682206
"1,2,4-trimethylbenzene-5-sulfonic acid dihydrate","2-methoxy-1,3,5-triazines",0.9082077950352236
